hospital_id,hospital_name,hospital_type,ownership_type,city,state,bed_capacity,accreditation_status,established_year
HOS0064,Jackson University Hospital,General Hospital,Private,Jackson,MS,250,Unknown,1928
HOS0035,Virginia Beach Medical Center,Community Hospital,Non-Profit,Virginia Beach,VA,,Not Accredited,1974
HOS0186,Savannah Community Health Center,General Hospital,University-Affiliated,Savannah,GA,200,NABH Accredited,1935
HOS0147,Tulsa Health System,General Hospital,Non-Profit,Tulsa,OK,,Unknown,1984
HOS0131,Charlotte General Hospital,Children's Hospital,Government,Charlotte,NC,300,Not Accredited,1997
HOS0179,Boise Regional Hospital,Community Hospital,Government,Boise,ID,750,Not Accredited,1998
HOS0262,Charleston Memorial Hospital,Specialty Clinic,Non-Profit,Charleston,SC,75,JCI Accredited,1950
HOS0015,Savannah Memorial Hospital,Community Hospital,Private,Savannah,GA,400,JCI Accredited,2012
HOS0167,Grand Rapids Community Health Center,Children's Hospital,Non-Profit,Grand Rapids,MI,200,JCI Accredited,2004
HOS0102,Provo Memorial Hospital,Children's Hospital,University-Affiliated,Provo,UT,400,CMS Certified,2013
HOS0163,Newark Clinic,Teaching Hospital,Unknown,Newark,NJ,200,JCI Accredited,1979
HOS0288,Raleigh University Hospital,Children's Hospital,Government,Raleigh,NC,200,Not Accredited,2010
HOS0129,Baltimore Memorial Hospital,Children's Hospital,Non-Profit,Baltimore,MD,400,JCI Accredited,1979
HOS0135,Springfield Clinic,General Hospital,University-Affiliated,Springfield,IL,250,CMS Certified,1962
HOS0084,New York Medical Center,Specialty Clinic,Unknown,New York,NY,300,JCI Accredited,1993
HOS0174,Madison Memorial Hospital,Specialty Clinic,Non-Profit,Madison,WI,400,Not Accredited,2015
HOS0101,Milwaukee Community Health Center,Community Hospital,Private,Milwaukee,WI,300,Unknown,2013
HOS0170,Columbus Regional Hospital,Children's Hospital,Non-Profit,Columbus,OH,1000,NABH Accredited,2000
HOS0007,Omaha University Hospital,Teaching Hospital,Government,Omaha,NE,150,Not Accredited,1947
HOS0263,Kansas City University Hospital,Children's Hospital,University-Affiliated,Kansas City,MO,75,JCI Accredited,1983
HOS0113,Newark Regional Hospital,Community Hospital,Non-Profit,Newark,NJ,750,Not Accredited,1932
HOS0025,Virginia Beach General Hospital,General Hospital,Private,Virginia Beach,VA,75,JCI Accredited,1962
HOS0294,Richmond Community Health Center,Community Hospital,Private,Richmond,VA,750,JCI Accredited,1928
HOS0071,Charlotte Health System,General Hospital,Non-Profit,Charlotte,NC,500,Not Accredited,1931
HOS0012,Charleston University Hospital,Children's Hospital,Government,Charleston,SC,300,CMS Certified,1996
HOS0067,San Diego University Hospital,Teaching Hospital,Private,San Diego,CA,150,Unknown,2005
HOS0048,Hartford Community Health Center,Specialty Clinic,Non-Profit,Hartford,CT,500,CMS Certified,1952
HOS0073,Oklahoma City Medical Center,Specialty Clinic,University-Affiliated,Oklahoma City,OK,750,JCI Accredited,1978
HOS0092,San Francisco General Hospital,Community Hospital,Government,San Francisco,CA,500,JCI Accredited,1964
HOS0219,Boise Regional Hospital,Specialty Clinic,Non-Profit,Boise,ID,200,Not Accredited,1935
HOS0207,Chicago Regional Hospital,Specialty Clinic,University-Affiliated,Chicago,IL,150,JCI Accredited,1964
HOS0125,Montgomery Clinic,Teaching Hospital,Government,Montgomery,AL,150,Not Accredited,2010
HOS0014,San Jose General Hospital,Children's Hospital,Non-Profit,San Jose,CA,,Not Accredited,1934
HOS0065,Des Moines Community Health Center,Children's Hospital,Non-Profit,Des Moines,IA,1000,JCI Accredited,2012
HOS0044,Des Moines Community Health Center,General Hospital,Private,Des Moines,IA,250,Unknown,1940
HOS0265,Orlando Medical Center,Children's Hospital,Non-Profit,Orlando,FL,150,CMS Certified,1943
HOS0094,San Jose Medical Center,Children's Hospital,Private,San Jose,CA,150,NABH Accredited,1980
HOS0037,Provo Medical Center,Teaching Hospital,Unknown,Provo,UT,50,CMS Certified,1984
HOS0284,Austin University Hospital,Children's Hospital,Government,Austin,TX,750,NABH Accredited,2006
HOS0249,Orlando Health System,Specialty Clinic,Private,Orlando,FL,400,JCI Accredited,1972
HOS0019,Charleston Community Health Center,Teaching Hospital,Private,Charleston,SC,50,NABH Accredited,1992
HOS0290,Newark Health System,General Hospital,University-Affiliated,Newark,NJ,,CMS Certified,1931
HOS0293,Anchorage Regional Hospital,Specialty Clinic,Private,Anchorage,AK,400,JCI Accredited,1966
HOS0141,Virginia Beach Regional Hospital,Teaching Hospital,Private,Virginia Beach,VA,200,Unknown,2009
HOS0204,Providence Community Health Center,Specialty Clinic,Government,Providence,RI,750,Unknown,2005
HOS0056,Honolulu Health System,Teaching Hospital,University-Affiliated,Honolulu,HI,1000,NABH Accredited,1954
HOS0069,Grand Rapids Memorial Hospital,Specialty Clinic,University-Affiliated,Grand Rapids,MI,750,Not Accredited,1979
HOS0083,Saint Paul University Hospital,Community Hospital,Non-Profit,Saint Paul,MN,500,CMS Certified,1973
HOS0085,Boston University Hospital,Community Hospital,Unknown,Boston,MA,250,Not Accredited,1969
HOS0089,Cincinnati Medical Center,General Hospital,Unknown,Cincinnati,OH,100,CMS Certified,1943
HOS0002,Tucson Regional Hospital,Teaching Hospital,Government,Tucson,AZ,150,JCI Accredited,1968
HOS0013,Jackson Clinic,Children's Hospital,Non-Profit,Jackson,MS,500,JCI Accredited,2007
HOS0177,Omaha Memorial Hospital,Children's Hospital,Government,Omaha,NE,400,Not Accredited,2006
HOS0093,Baltimore Regional Hospital,General Hospital,Government,Baltimore,MD,50,NABH Accredited,1945
HOS0215,Newark Clinic,Community Hospital,University-Affiliated,Newark,NJ,,Unknown,1973
HOS0222,Denver Medical Center,Community Hospital,Government,Denver,CO,400,JCI Accredited,1960
HOS0178,Virginia Beach Memorial Hospital,Children's Hospital,Unknown,Virginia Beach,VA,1000,Unknown,1933
HOS0285,Cincinnati Clinic,Teaching Hospital,Non-Profit,Cincinnati,OH,400,JCI Accredited,1993
HOS0194,Austin Community Health Center,Children's Hospital,Government,Austin,TX,400,NABH Accredited,1998
HOS0130,Oklahoma City Memorial Hospital,Community Hospital,Non-Profit,Oklahoma City,OK,500,CMS Certified,1976
