location_id,city,state,region,country,zip_code,population_density_per_sqkm
LOC0069,Little Rock,AR,South,USA,6507,10197
LOC0059,Richmond,VA,South,USA,10829,7091
LOC0073,Charleston,SC,South,USA,10959,3123
LOC0010,Dallas,TX,South,USA,13935,5628
LOC0071,Anchorage,AK,West,USA,30372,3993
LOC0046,Albuquerque,NM,West,USA,12657,3940
LOC0056,Baton Rouge,LA,South,USA,70785,11066
LOC0053,Minneapolis,MN,Midwest,USA,6196,10303
LOC0065,Newark,NJ,Northeast,USA,76175,10798
LOC0004,San  Francisco,CA,West,USA,97697,5241
LOC0020,Orlando,FL,South,USA,29158,6034.5
LOC0026,Raleigh,NC,South,USA,,6446
LOC0032,Boston,MA,Northeast,USA,29394,2097
LOC0074,Columbia,SC,South,USA,31013,1071
LOC0068,Montgomery,AL,South,USA,,3202
LOC0007,Chicago,IL,Midwest,USA,29757,6315
LOC0041,Reno,NV,West,USA,,7784
LOC0076,Wichita,KS,Midwest,USA,50324,10855
LOC0013,Phoenix,AZ,West,USA,71983,6034.5
LOC0009,Houston,TX,South,USA,97031,4476
LOC0005,San Diego,CA,West,USA,36549,11334
LOC0035,Memphis,TN,South,USA,36964,10048
LOC0018,Jacksonville,FL,South,USA,4406,6999
LOC0072,Honolulu,HI,West,USA,38431,7605
LOC0043,Baltimore,MD,South,USA,28722,1578
LOC0066,Jersey City,NJ,Northeast,USA,25704,825
LOC0006,Sacramento,CA,West,USA,32599,5784
LOC0014,Tucson,AZ,West,USA,11896,8372
LOC0055,New Orleans,LA,South,USA,,10283
LOC0024,Cincinnati,OH,Midwest,USA,3979,6034.5
LOC0012,San Antonio,TX,South,USA,97581,11413
LOC0048,Atlanta,GA,South,USA,13177,11130
LOC0033,Worcester,MA,Northeast,USA,,2797
LOC0017,San Jose,CA,West,USA,4666,10633
LOC0028,Seattle,WA,West,USA,85682,8716
LOC0036,Detroit,MI,Midwest,USA,1352,239
LOC0037,Grand Rapids,MI,Midwest,USA,21427,6034.5
LOC0054,Saint Paul,MN,Midwest,USA,96148,6034.5
LOC0070,Boise,ID,West,USA,87174,1635
LOC0062,Tulsa,OK,South,USA,82898,5536
LOC0047,Fresno,CA,West,USA,50298,8888
LOC0058,Provo,UT,West,USA,,2662
LOC0019,Miami,FL,South,USA,12781,2483
LOC0051,St. Louis,MO,Midwest,USA,79632,8842
LOC0039,Eugene,OR,West,USA,55893,4708
LOC0029,Spokane,WA,West,USA,92425,9324
LOC0077,Jackson,MS,South,USA,36935,3893
LOC0049,Savannah,GA,South,USA,47553,5443
LOC0050,Kansas City,MO,Midwest,USA,45583,6034.5
LOC0031,Boulder,CO,West,USA,,7899
LOC0022,Columbus,OH,Midwest,USA,66738,6470
LOC0038,Portland,OR,West,USA,92007,3055
LOC0016,Pittsburgh,PA,Northeast,USA,55803,819
LOC0060,Virginia Beach,VA,South,USA,72858,9605
LOC0034,Nashville,TN,South,USA,77737,9217
LOC0044,Milwaukee,WI,Midwest,USA,44619,11444
LOC0008,Springfield,IL,Midwest,USA,18790,6034.5
LOC0063,Hartford,CT,Northeast,USA,81571,7149
LOC0030,Denver,CO,West,USA,71927,2608
LOC0052,Omaha,NE,Midwest,USA,,10605
LOC0002,Buffalo,NY,Northeast,USA,15093,6034.5
LOC0061,Oklahoma City,OK,South,USA,,6285
LOC0064,Providence,RI,Northeast,USA,47901,9720
LOC0003,Los Angeles,CA,West,USA,3779,5440
LOC0067,Birmingham,AL,South,USA,92850,8276
LOC0023,Cleveland,OH,Midwest,USA,79408,6034.5
LOC0027,Indianapolis,IN,Midwest,USA,94351,11146
LOC0015,Philadelphia,PA,Northeast,USA,77898,6034.5
LOC0040,Las Vegas,NV,West,USA,45098,1949
LOC0045,Madison,WI,Midwest,USA,13897,3606
LOC0021,Tampa,FL,South,USA,,5101
LOC0042,Louisville,KY,South,USA,20880,1317
LOC0011,Austin,TX,South,USA,,11686
LOC0075,Des Moines,IA,Midwest,USA,13739,6034.5
LOC0001,New York,NY,Northeast,USA,84311,7320
LOC0057,Salt Lake City,UT,West,USA,16862,7563
LOC0025,Charlotte,NC,South,USA,74064,3435
