location_id,city,state,region,country,zip_code,population_density_per_sqkm
LOC0069,Little Rock,AR,South,USA,06507,10197.0
LOC0059,richmond,VA,South,USA,10829,7091.0
LOC0073,Charleston,SC,South,USA,10959,3123.0
LOC0010,Dallas,TX,  south  ,USA   ,13935,5628.0
LOC0071,Anchorage,  AK,West,USA,30372,3993.0
LOC0046,ALBUQUERQUE,NM,West,  USA,12657,3940.0
LOC0056,baton rouge,LA,South,USA,70785,11066.0
LOC0053,minneapolis,MN,midwest   ,USA,06196,10303.0
LOC0065,Newark,NJ,NORTHEAST   ,  usa,76175,10798.0
LOC0004,San  Francisco,  CA,WEST,USA,97697,5241.0
LOC0020,  ORLANDO  ,FL,south,USA,29158,
LOC0026,Raleigh,NC,South   ,USA,,6446.0
LOC0032,  Boston  ,MA,Northeast,USA,29394,2097.0
LOC0074,  Columbia,SC,South,USA,31013,1071.0
LOC0068,Montgomery,Al,South,USA,,3202.0
LOC0007,Chicago,IL,Midwest,Usa,29757,6315.0
LOC0041,Reno,nv,West,USA,,7784.0
LOC0076,Wichita,ks,Midwest,USA,50324,10855.0
LOC0013,Phoenix,AZ,West,USA,71983,
LOC0009,Houston,  TX,South,USA,97031,4476.0
LOC0005,San Diego,CA,West,USA,36549,11334.0
LOC0032,  Boston  ,MA,Northeast,USA,29394,2097.0
LOC0035,Memphis,tn,South,USA,36964,10048.0
LOC0018,Jacksonville,FL   ,South,USA,04406,6999.0
LOC0072,  Honolulu  ,HI,West,USA,38431,7605.0
LOC0043,Baltimore,MD,South,  USA,28722,1578.0
LOC0066,JERSEY CITY   ,  NJ,  NORTHEAST,USA,25704,825.0
LOC0006,Sacramento,CA,West,USA,32599,5784.0
LOC0014,Tucson,AZ,West,USA,11896,8372.0
LOC0055,New Orleans,LA,South,USA,,10283.0
LOC0024,Cincinnati,OH,Midwest,USA,03979,
LOC0012,  San Antonio,TX,South,USA,97581,11413.0
LOC0048,Atlanta,  ga  ,South,usa,13177,11130.0
LOC0024,Cincinnati,OH,Midwest,USA,03979,
LOC0033,Worcester,MA,Northeast,USA,,2797.0
LOC0071,Anchorage,  AK,West,USA,30372,3993.0
LOC0017,San Jose,CA,West,USA,04666,10633.0
LOC0028,Seattle,WA,West,Usa,85682,8716.0
LOC0036,Detroit,MI,Midwest,USA,01352,239.0
LOC0037,  Grand Rapids,MI,Midwest,USA,21427,
LOC0014,Tucson,AZ,West,USA,11896,8372.0
LOC0054,Saint Paul,MN,MIDWEST,Usa,96148,
LOC0070,boise,ID,west,USA,87174,1635.0
LOC0062,Tulsa,OK,South,USA,82898,5536.0
LOC0047,  FRESNO,CA,West,USA,50298,8888.0
LOC0065,Newark,NJ,NORTHEAST   ,  usa,76175,10798.0
LOC0058,  provo,UT   ,West,USA,,2662.0
LOC0019,Miami,fl,South,USA   ,12781,2483.0
LOC0074,  Columbia,SC,South,USA,31013,1071.0
LOC0051,  St. Louis,MO,Midwest,USA,79632,8842.0
LOC0039,Eugene,OR,West,USA,55893,4708.0
LOC0029,Spokane,WA,West,USA,92425,9324.0
LOC0077,Jackson,MS,South,USA,36935,3893.0
LOC0049,Savannah,GA,South,USA,47553,5443.0
LOC0050,Kansas City,MO   ,Midwest,USA,45583,
LOC0031,Boulder,CO,West,USA,,7899.0
LOC0022,  columbus,OH,Midwest,USA,66738,6470.0
LOC0038,Portland,OR,  West,USA,92007,3055.0
LOC0049,Savannah,GA,South,USA,47553,5443.0
LOC0016,Pittsburgh,PA,Northeast,USA,55803,819.0
LOC0060,Virginia Beach,VA,South,USA   ,72858,9605.0
LOC0034,  Nashville,TN,South,USA,77737,9217.0
LOC0044,Milwaukee,WI,Midwest,USA,44619,11444.0
LOC0043,Baltimore,MD,South,  USA,28722,1578.0
LOC0008,Springfield,il,Midwest,USA,18790,
LOC0063,Hartford,CT,Northeast,USA,81571,7149.0
LOC0020,  ORLANDO  ,FL,south,USA,29158,
LOC0030,  Denver,  CO  ,West,USA,71927,2608.0
LOC0052,Omaha,NE,Midwest,USA   ,,10605.0
LOC0002,Buffalo,NY,Northeast,USA   ,15093,
LOC0061,oklahoma city,OK,South,USA,,6285.0
LOC0064,Providence,RI,Northeast,USA,47901,9720.0
LOC0003,Los Angeles,CA,West,USA,03779,5440.0
LOC0067,BIRMINGHAM,AL,South,USA,92850,8276.0
LOC0023,Cleveland,OH,Midwest,usa,79408,
LOC0027,Indianapolis,IN,Midwest,USA,94351,11146.0
LOC0015,Philadelphia,PA,Northeast,USA,77898,
LOC0040,las vegas,NV,West,usa,45098,1949.0
LOC0045,Madison,WI,Midwest,USA,13897,3606.0
LOC0021,tampa,FL,South,USA,,5101.0
LOC0039,Eugene,OR,West,USA,55893,4708.0
LOC0042,Louisville,KY,South,USA,20880,1317.0
LOC0011,Austin,TX,South,USA,,11686.0
LOC0042,Louisville,KY,South,USA,20880,1317.0
LOC0075,  Des Moines,  IA,Midwest,USA,13739,
LOC0020,  ORLANDO  ,FL,south,USA,29158,
LOC0022,  columbus,OH,Midwest,USA,66738,6470.0
LOC0001,  NEW YORK,NY,Northeast,USA,84311,7320.0
LOC0073,Charleston,SC,South,USA,10959,3123.0
LOC0057,Salt Lake City,Ut,West,USA,16862,7563.0
LOC0004,San  Francisco,  CA,WEST,USA,97697,5241.0
LOC0025,Charlotte,nc,South,USA,74064,3435.0
